check_id,legal_converted_amount,courtesy_amount,verification_status,matches_ground_truth,courtesy_true,part_c_prediction_text
ac03000,10000,10000,verified,true,10000,عشره الاف ريال فقط لا غير
ac03001,5000,500,failed,false,5000,خمس لاف ريال فقط
ac03003,5000,5000,verified,true,5000,خمسه الاف ريال لا غير
ac03005,17395,1733587,failed,true,1733587,فقط سبعه عشر الف وثاثماه ومسه وثاثون ريال وسون ريل لا غير
ac03006,1000,1000,verified,true,1000,فقط الف ريال لا غير
ac03007,2000,12000,failed,true,12000,اثن الف ريال قط لا غير
ac03008,450,450,verified,true,450,فقط اربعمايه وخمسون ريال لا غير
ac03014,2800,2800,verified,true,2800,فقط الفان وثمانمايه ريال لا غير
ac03015,25000,25000,verified,true,25000,فقط خمسه وعشرون الف ريال لا غير
ac03020,3605,3605,verified,true,3605,فقط ثلاثه الاف وستمايه وخمسه ريال لا غير
ac03021,1000,2000,failed,true,2000,الف ريال فقط لا غير
ac03023,6000,5000,failed,true,5000,وقده خمسه الاف ريال لا غير
ac03025,1475,1475,verified,true,1475,الف واربعمايه وخمسه وسبعون ريال لا غير
ac03027,95000,95000,verified,true,95000,فقط خمسه وتسعون الف ريال لا غير
ac03035,500,500,verified,true,500,فقط خمسمايه ريال لا غير
ac03040,28000,28000,verified,true,28000,ثمانيه وعشرون الف ريال لا غير
ac03041,12500,12500,verified,true,12500,اثني عشر الف وخمسمايه ريال لا غير
ac03043,510,7500,failed,false,1500,عشره وخمسمايه ريال لا غير
ac03044,3000,3000,verified,true,3000,ثلاثعه الاف ريال فقط لا غير
ac03045,300,300,verified,true,300,فقط ثلاثمايه ريال
ac03046,3000,300,failed,false,3000,ثلاثه الاف ريال فقط
ac03047,1100,10000,failed,false,100000,مايه الف ريال فقط
ac03048,1152,1152,verified,true,1152,فقط الف ومايه واثنان وخمسون ريال لا غير
ac03049,516,516,verified,true,516,خمسمايه وسته عشر ريال لا غير
ac03057,6000,6000,verified,true,6000,سته الاف ريال سعوقط لا غير
ac03059,3148,3148,verified,true,3148,فقط ثلاثه الف ومايه وثمانيه واربعون ريال لا غير
ac03060,80000,80000,verified,true,80000,ثمانون الف ريال فقط لا غير
ac03063,800,800,verified,true,800,ثمانيمايه ريال لا غير
ac03065,39000,39000,verified,true,39000,تسعه وثلاثون الف ريال لا غير
ac03066,4200,4200,verified,true,4200,فقط اربعه الاف ومايتين ريال لاغي
ac03067,6360,6860,failed,true,6860,سته الاف وثاثايه وستون ريال
ac03069,3080,3080,verified,true,3080,ثلاثه الاف وثمانون ريال
ac03071,8,200,failed,true,200,فقط ثمايان ريال لا غير
ac03072,596,596,verified,true,596,فقط خمسمايه سته وتسعون ريال لا غير
ac03074,2000,2000,verified,true,2000,الفان ريال فقط لا غير
ac03077,2646,2646,verified,true,2646,الفين وستمايه وسته واربعون ريال
ac03082,1000,1000,verified,true,1000,الف ريال لا غير
ac03084,426014,426516,failed,true,426516,فقط اربعمايه وسته وعشرون الف وخمانيه وسته عشريال
ac03086,7000,1000,failed,true,1000,سبعه الاف ريال
ac03087,1003,1300,failed,true,1300,الف وثلاث ريال
ac03088,750,750,verified,true,750,سبعمايه وخمسون ريال لا غير
ac03089,15000,15000,verified,true,15000,خمسه عشر الف ريال فقط ير
ac03094,600000,600000,verified,true,600000,سبمايه الف ريال فقط
ac03095,20000,20000,verified,true,20000,عشرون الف ريال لا غير
ac03099,1600,1600,verified,true,1600,الف وستمايه ريال لا غير
ac03100,12000,12000,verified,true,12000,اثنا عشر الف ريال
ac03101,1900,116000,failed,false,1600,فقط الف وسعمايه ريال
ac03102,3000,3000,verified,true,3000,فقط ثلاثه الاف ريال لا غير
ac03103,14440,14440,verified,true,14440,اربعه عشر الف واربعمايه واربعون ريال لا غير
ac03104,420,400,failed,false,420,فقط اربعمايه وعشرون ريالا لا غير
ac03105,6334,6334,verified,true,6334,سته الاف وثلاثمايه واربعه وثلاثون ريال لا غير
ac03106,5000,5000,verified,true,5000,خمسه الاف ريال فقط
ac03107,25000,25000,verified,true,25000,فقط خمسه وعشرون الف ريال لا غير
ac03108,14000,14000,verified,true,14000,فقط اربعه عشر الف ريال لا غير
ac03109,14408,14408,verified,true,14408,اربعه عشر الف واربعمايه وثمانيه ريال لا غير
ac03112,570,570,verified,true,570,خمسمايه وسبعون ريال فقط
ac03114,2750,2750,verified,true,2750,الفان وسبعمايه وخمسون ريال لا غير
ac03116,1420,1425,failed,true,1425,اقد الف واربعمايه وعشرون ريال لا غير
ac03117,12750,12750,verified,true,12750,اثن عشر الف وسبعمايه وخمسون ريال
ac03120,300000,300000,verified,true,300000,ثلاثمايه الف ريال لا غير
ac03121,1800,1800,verified,true,1800,الف وثمانمايه ريال فقط لا غير
ac03122,5727,5727,verified,true,5727,خمسه الاف وسبعمايه وسبعه وعشرون ريال لا غير
ac03125,3000,3000,verified,true,3000,ثلاثه الاف ريال لا غير
ac03126,70000,70000,verified,true,70000,سبعون الف ريال لا غير
ac03129,714,714,verified,true,714,فقط سبعمايه واربعه عشر ريال لا غير
